2016-06-22 16:11:31,279 [Dummy-1:11080] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-22 16:12:39,306 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.082) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'logentry' AND `django_content_type`.`app_label` = 'admin'); args=('logentry', 'admin')
2016-06-22 16:12:39,440 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.129) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2016-06-22 16:12:39,441 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2016-06-22 16:12:39,444 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'permission' AND `django_content_type`.`app_label` = 'auth'); args=('permission', 'auth')
2016-06-22 16:12:39,444 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'group' AND `django_content_type`.`app_label` = 'auth'); args=('group', 'auth')
2016-06-22 16:12:39,457 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.009) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (2, 3) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3)
2016-06-22 16:12:39,460 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
2016-06-22 16:12:39,461 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'contenttype' AND `django_content_type`.`app_label` = 'contenttypes'); args=('contenttype', 'contenttypes')
2016-06-22 16:12:39,464 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(4,)
2016-06-22 16:12:39,466 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes'; args=('contenttypes',)
2016-06-22 16:12:39,467 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'session' AND `django_content_type`.`app_label` = 'sessions'); args=('session', 'sessions')
2016-06-22 16:12:39,470 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
2016-06-22 16:12:39,473 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions'; args=('sessions',)
2016-06-22 16:12:39,474 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'user' AND `django_content_type`.`app_label` = 'blog'); args=('user', 'blog')
2016-06-22 16:12:39,476 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'advert' AND `django_content_type`.`app_label` = 'blog'); args=('advert', 'blog')
2016-06-22 16:12:39,479 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'category' AND `django_content_type`.`app_label` = 'blog'); args=('category', 'blog')
2016-06-22 16:12:39,480 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'tag' AND `django_content_type`.`app_label` = 'blog'); args=('tag', 'blog')
2016-06-22 16:12:39,483 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'article' AND `django_content_type`.`app_label` = 'blog'); args=('article', 'blog')
2016-06-22 16:12:39,484 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'articletag' AND `django_content_type`.`app_label` = 'blog'); args=('articletag', 'blog')
2016-06-22 16:12:39,487 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'comment' AND `django_content_type`.`app_label` = 'blog'); args=('comment', 'blog')
2016-06-22 16:12:39,490 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'links' AND `django_content_type`.`app_label` = 'blog'); args=('links', 'blog')
2016-06-22 16:12:39,493 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (6, 7, 8, 9, 10, 11, 12, 13) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6, 7, 8, 9, 10, 11, 12, 13)
2016-06-22 16:12:39,494 [MainThread:14700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'blog'; args=('blog',)
2016-06-22 16:12:46,035 [Dummy-1:12912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-22 16:12:46,111 [Dummy-1:12912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-22 16:12:46,115 [Dummy-1:12912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2016-06-22 16:12:46,125 [Dummy-1:12912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-06-22 16:12:53,410 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-22 16:12:53,413 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT COUNT('*') AS `__count` FROM `blog_article`; args=('*',)
2016-06-22 16:12:53,414 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-22 16:12:53,431 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-22 16:12:53,437 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `blog_comment`.`article_id`, COUNT(`blog_comment`.`article_id`) AS `comment_count` FROM `blog_comment` GROUP BY `blog_comment`.`article_id` ORDER BY `comment_count` DESC; args=()
2016-06-22 16:12:53,438 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 3; args=(3,)
2016-06-22 16:12:53,441 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 1; args=(1,)
2016-06-22 16:12:53,443 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 2; args=(2,)
2016-06-22 16:12:53,453 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_category`.`id`, `blog_category`.`name`, `blog_category`.`index` FROM `blog_category` ORDER BY `blog_category`.`index` ASC, `blog_category`.`id` ASC LIMIT 6; args=()
2016-06-22 16:12:53,607 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_advert`.`id`, `blog_advert`.`title`, `blog_advert`.`description`, `blog_advert`.`image_url`, `blog_advert`.`callback_url`, `blog_advert`.`date_publish`, `blog_advert`.`index` FROM `blog_advert` ORDER BY `blog_advert`.`index` ASC, `blog_advert`.`id` ASC LIMIT 4; args=()
2016-06-22 16:12:53,612 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC LIMIT 2; args=()
2016-06-22 16:12:53,686 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.070) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag` INNER JOIN `blog_articletag` ON ( `blog_tag`.`id` = `blog_articletag`.`tag_id` ) WHERE `blog_articletag`.`article_id` = 3; args=(3,)
2016-06-22 16:12:53,688 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_comment` WHERE `blog_comment`.`article_id` = 3; args=('*', 3)
2016-06-22 16:12:53,690 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag` INNER JOIN `blog_articletag` ON ( `blog_tag`.`id` = `blog_articletag`.`tag_id` ) WHERE `blog_articletag`.`article_id` = 2; args=(2,)
2016-06-22 16:12:53,693 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_comment` WHERE `blog_comment`.`article_id` = 2; args=('*', 2)
2016-06-22 16:12:53,698 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`click_count` DESC; args=()
2016-06-22 16:12:53,700 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`score` DESC; args=()
2016-06-22 16:12:53,701 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag`; args=()
2016-06-22 16:12:53,704 [Thread-3:11892] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_links`.`id`, `blog_links`.`title`, `blog_links`.`description`, `blog_links`.`callback_url`, `blog_links`.`date_publish`, `blog_links`.`index` FROM `blog_links` ORDER BY `blog_links`.`index` ASC, `blog_links`.`id` ASC; args=()
2016-06-22 16:49:20,661 [Thread-1:14596] [django.security.DisallowedHost:204] [base:get_response] [ERROR]- Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add u'127.0.0.1' to ALLOWED_HOSTS.
2016-06-23 00:13:31,265 [Dummy-1:12048] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 00:13:31,349 [Dummy-1:12048] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 00:13:31,354 [Dummy-1:12048] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2016-06-23 00:13:31,359 [Dummy-1:12048] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-06-23 00:14:38,813 [Thread-7:12652] [django.security.DisallowedHost:204] [base:get_response] [ERROR]- Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add u'127.0.0.1' to ALLOWED_HOSTS.
2016-06-23 00:14:42,385 [Thread-8:10064] [django.security.DisallowedHost:204] [base:get_response] [ERROR]- Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add u'127.0.0.1' to ALLOWED_HOSTS.
2016-06-23 00:14:53,780 [Thread-9:4232] [django.security.DisallowedHost:204] [base:get_response] [ERROR]- Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add u'127.0.0.1' to ALLOWED_HOSTS.
2016-06-23 00:14:58,433 [Thread-10:12200] [django.security.DisallowedHost:204] [base:get_response] [ERROR]- Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add u'127.0.0.1' to ALLOWED_HOSTS.
2016-06-23 09:51:17,428 [Dummy-1:15472] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 09:51:17,605 [Dummy-1:15472] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 09:51:17,612 [Dummy-1:15472] [django.db.backends:89] [utils:execute] [DEBUG]- (0.006) SHOW FULL TABLES; args=None
2016-06-23 09:51:17,619 [Dummy-1:15472] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-06-23 09:51:20,322 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 09:51:20,325 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT COUNT('*') AS `__count` FROM `blog_article`; args=('*',)
2016-06-23 09:51:20,326 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-23 09:51:20,384 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-23 09:51:20,388 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_comment`.`article_id`, COUNT(`blog_comment`.`article_id`) AS `comment_count` FROM `blog_comment` GROUP BY `blog_comment`.`article_id` ORDER BY `comment_count` DESC; args=()
2016-06-23 09:51:20,391 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 3; args=(3,)
2016-06-23 09:51:20,394 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 1; args=(1,)
2016-06-23 09:51:20,397 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 2; args=(2,)
2016-06-23 09:51:20,405 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_category`.`id`, `blog_category`.`name`, `blog_category`.`index` FROM `blog_category` ORDER BY `blog_category`.`index` ASC, `blog_category`.`id` ASC LIMIT 6; args=()
2016-06-23 09:51:20,421 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_advert`.`id`, `blog_advert`.`title`, `blog_advert`.`description`, `blog_advert`.`image_url`, `blog_advert`.`callback_url`, `blog_advert`.`date_publish`, `blog_advert`.`index` FROM `blog_advert` ORDER BY `blog_advert`.`index` ASC, `blog_advert`.`id` ASC LIMIT 4; args=()
2016-06-23 09:51:20,427 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC LIMIT 2; args=()
2016-06-23 09:51:20,434 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag` INNER JOIN `blog_articletag` ON ( `blog_tag`.`id` = `blog_articletag`.`tag_id` ) WHERE `blog_articletag`.`article_id` = 3; args=(3,)
2016-06-23 09:51:20,437 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_comment` WHERE `blog_comment`.`article_id` = 3; args=('*', 3)
2016-06-23 09:51:20,440 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag` INNER JOIN `blog_articletag` ON ( `blog_tag`.`id` = `blog_articletag`.`tag_id` ) WHERE `blog_articletag`.`article_id` = 2; args=(2,)
2016-06-23 09:51:20,444 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_comment` WHERE `blog_comment`.`article_id` = 2; args=('*', 2)
2016-06-23 09:51:20,451 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`click_count` DESC; args=()
2016-06-23 09:51:20,454 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` ORDER BY `blog_article`.`score` DESC; args=()
2016-06-23 09:51:20,457 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`name`, `blog_tag`.`callback_url` FROM `blog_tag`; args=()
2016-06-23 09:51:20,461 [Thread-2:6208] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `blog_links`.`id`, `blog_links`.`title`, `blog_links`.`description`, `blog_links`.`callback_url`, `blog_links`.`date_publish`, `blog_links`.`index` FROM `blog_links` ORDER BY `blog_links`.`index` ASC, `blog_links`.`id` ASC; args=()
2016-06-23 09:55:54,157 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-23 09:55:54,158 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT COUNT('*') AS `__count` FROM `blog_article`; args=('*',)
2016-06-23 09:55:54,161 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-23 09:55:54,164 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-23 09:55:54,170 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT `blog_comment`.`article_id`, COUNT(`blog_comment`.`article_id`) AS `comment_count` FROM `blog_comment` GROUP BY `blog_comment`.`article_id` ORDER BY `comment_count` DESC; args=()
2016-06-23 09:55:54,173 [Thread-4:6284] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 3; args=(3,)
